"Player";"Squad.x";"Pos.x";"Pos";"Comp.x";"Min_Playing";"PassQuantity_raw";"xa90";"xa_resid_diag";"PassQuantity_pct";"PassQuality_pct";"PassAccuracy_pct";"PassIndex_weighted_raw";"PassIndex_weighted_pct"
"Joshua Kimmich";"Bayern Munich";"MF,DF";"MF";"Bundesliga";2847;5,94897574463346;0,331928345626976;0,0725820723179941;100;98,6547085201794;8,29596412556054;90,1569506726457;100
"Konrad Laimer";"Bayern Munich";"DF,MF";"DF";"Bundesliga";1699;3,1149526432486;0,169511477339612;0,0184223345351949;96,0151802656546;94,3074003795066;55,7874762808349;91,1385199240987;100
"Lee Kang-in";"Paris S-G";"FW,MF";"FW";"Ligue 1";1663;3,39622491288981;0,346361996392063;0,184528506166136;100;98,989898989899;28,2828282828283;92,3232323232323;100
"Oliver Baumann";"Hoffenheim";"GK";"GK";"Bundesliga";2520;0,314209813081798;0,025;-0,0191032886923132;94,7368421052632;100;27,3684210526316;90,6315789473684;100
"Leon Goretzka";"Bayern Munich";"DF";"DF";"Bundesliga";1325;4,29229633811702;0,163018867924528;-0,0330437438547232;99,4307400379507;92,7893738140417;49,7153700189753;91,1385199240987;99,81
"Luka Modrić";"Real Madrid";"MF";"MF";"La Liga";1827;5,01046895073545;0,310344827586207;0,0868486687017653;99,3273542600897;97,5336322869955;8,96860986547086;89,3946188340807;99,78
"Ousmane Dembélé";"Paris S-G";"FW";"FW";"Ligue 1";1730;3,02761722066868;0,374566473988439;0,226813465683168;99,3265993265993;99,6632996632997;6,06060606060606;90,1683501683502;99,66
"Achraf Hakimi";"Paris S-G";"DF";"DF";"Ligue 1";2066;3,37006351563083;0,230880929332043;0,0700467809237121;97,9127134724858;97,9127134724858;21,6318785578748;90,2846299810247;99,62
"Pedri";"Barcelona";"MF";"MF";"La Liga";2879;5,21876792345547;0,281347690170198;0,0498946980959711;99,5515695067265;95,2914798206278;16,3677130044843;89,1031390134529;99,55
"Nuno Mendes";"Paris S-G";"DF";"DF";"Ligue 1";1676;3,24752035138365;0,220167064439141;0,0640139545579369;97,3434535104364;97,5332068311195;22,7703984819734;89,9810246679317;99,43
"Fabián Ruiz Peña";"Paris S-G";"MF";"MF";"Ligue 1";1923;4,03734566409826;0,238689547581903;0,0523658219733356;97,085201793722;90,3587443946188;50,6726457399103;89,0807174887892;99,33
"Michael Olise";"Bayern Munich";"FW,MF";"FW";"Bundesliga";2334;2,91390935998075;0,482005141388175;0,338595670970041;98,6531986531986;100;7,07070707070707;90,1683501683502;99,33
"Trent Alexander-Arnold";"Liverpool";"DF";"DF";"Premier League";2365;4,1601119990302;0,281606765327696;0,0905934762728033;99,2409867172676;99,4307400379507;0;89,4117647058823;99,24
"Angelo Stiller";"Stuttgart";"MF,DF";"MF";"Bundesliga";2741;4,42985251667231;0,282378693907333;0,0810615599732363;97,9820627802691;95,7399103139013;17,2645739910314;88,7892376681614;99,1
